dia,cajero,pagos,cobros
1,Cajero 1,45,36
1,Cajero 2,43,43
1,Cajero 3,51,47
2,Cajero 1,41,44
2,Cajero 2,32,44
2,Cajero 3,50,43
3,Cajero 1,39,44
3,Cajero 2,43,34
3,Cajero 3,48,39
4,Cajero 1,30,34
4,Cajero 2,33,46
4,Cajero 3,31,42
5,Cajero 1,48,40
5,Cajero 2,45,44
5,Cajero 3,33,37
6,Cajero 1,41,43
6,Cajero 2,43,45
6,Cajero 3,42,35
7,Cajero 1,49,35
7,Cajero 2,36,36
7,Cajero 3,40,28
8,Cajero 1,50,32
8,Cajero 2,40,35
8,Cajero 3,32,41
9,Cajero 1,43,33
9,Cajero 2,45,50
9,Cajero 3,46,37
10,Cajero 1,48,45
10,Cajero 2,32,33
10,Cajero 3,32,47
11,Cajero 1,45,39
11,Cajero 2,37,41
11,Cajero 3,31,42
12,Cajero 1,44,38
12,Cajero 2,34,34
12,Cajero 3,46,41
13,Cajero 1,40,38
13,Cajero 2,39,35
13,Cajero 3,34,50
14,Cajero 1,35,42
14,Cajero 2,38,39
14,Cajero 3,34,38
15,Cajero 1,46,28
15,Cajero 2,45,33
15,Cajero 3,40,31
16,Cajero 1,33,47
16,Cajero 2,49,34
16,Cajero 3,39,45
17,Cajero 1,46,32
17,Cajero 2,45,38
17,Cajero 3,48,37
18,Cajero 1,35,34
18,Cajero 2,47,41
18,Cajero 3,40,37
19,Cajero 1,30,32
19,Cajero 2,34,45
19,Cajero 3,41,44
20,Cajero 1,39,51
20,Cajero 2,29,30
20,Cajero 3,33,39
21,Cajero 1,31,33
21,Cajero 2,48,31
21,Cajero 3,41,46
22,Cajero 1,37,47
22,Cajero 2,47,47
22,Cajero 3,32,35
23,Cajero 1,44,44
23,Cajero 2,31,43
23,Cajero 3,37,41
24,Cajero 1,48,36
24,Cajero 2,36,43
24,Cajero 3,32,32
25,Cajero 1,50,42
25,Cajero 2,34,46
25,Cajero 3,35,36
26,Cajero 1,46,34
26,Cajero 2,34,38
26,Cajero 3,40,31
27,Cajero 1,46,44
27,Cajero 2,46,44
27,Cajero 3,39,29
28,Cajero 1,36,30
28,Cajero 2,36,39
28,Cajero 3,33,35
29,Cajero 1,36,45
29,Cajero 2,46,31
29,Cajero 3,45,32
30,Cajero 1,37,30
30,Cajero 2,37,30
30,Cajero 3,44,36
31,Cajero 1,42,34
31,Cajero 2,41,40
31,Cajero 3,48,49
32,Cajero 1,43,42
32,Cajero 2,30,42
32,Cajero 3,48,45
33,Cajero 1,38,44
33,Cajero 2,43,35
33,Cajero 3,47,35
34,Cajero 1,34,34
34,Cajero 2,33,44
34,Cajero 3,28,42
35,Cajero 1,51,40
35,Cajero 2,47,45
35,Cajero 3,33,37
36,Cajero 1,41,43
36,Cajero 2,42,46
36,Cajero 3,42,33
37,Cajero 1,50,34
37,Cajero 2,36,35
37,Cajero 3,38,28
38,Cajero 1,49,34
38,Cajero 2,39,35
38,Cajero 3,32,38
39,Cajero 1,44,33
39,Cajero 2,43,47
39,Cajero 3,46,36
40,Cajero 1,46,46
40,Cajero 2,29,35
40,Cajero 3,33,50
41,Cajero 1,46,36
41,Cajero 2,33,42
41,Cajero 3,32,41
42,Cajero 1,46,37
42,Cajero 2,34,33
42,Cajero 3,46,40
43,Cajero 1,39,39
43,Cajero 2,35,36
43,Cajero 3,34,51
44,Cajero 1,33,40
44,Cajero 2,35,41
44,Cajero 3,34,34
45,Cajero 1,49,28
45,Cajero 2,48,33
45,Cajero 3,41,32
46,Cajero 1,33,47
46,Cajero 2,47,35
46,Cajero 3,41,45
47,Cajero 1,46,33
47,Cajero 2,46,40
47,Cajero 3,46,41
48,Cajero 1,32,36
48,Cajero 2,47,41
48,Cajero 3,41,38
49,Cajero 1,30,33
49,Cajero 2,36,43
49,Cajero 3,37,45
50,Cajero 1,42,51
50,Cajero 2,32,30
50,Cajero 3,36,38
51,Cajero 1,34,34
51,Cajero 2,44,33
51,Cajero 3,43,46
52,Cajero 1,33,47
52,Cajero 2,47,47
52,Cajero 3,30,33
53,Cajero 1,42,40
53,Cajero 2,30,42
53,Cajero 3,36,41
54,Cajero 1,48,34
54,Cajero 2,37,40
54,Cajero 3,30,29
55,Cajero 1,47,39
55,Cajero 2,33,48
55,Cajero 3,35,34
56,Cajero 1,48,35
56,Cajero 2,34,42
56,Cajero 3,41,32
57,Cajero 1,43,43
57,Cajero 2,50,45
57,Cajero 3,37,32
58,Cajero 1,34,33
58,Cajero 2,35,39
58,Cajero 3,32,33
59,Cajero 1,37,46
59,Cajero 2,47,32
59,Cajero 3,44,32
60,Cajero 1,35,31
60,Cajero 2,38,34
60,Cajero 3,40,40
61,Cajero 1,45,35
61,Cajero 2,44,43
61,Cajero 3,50,50
62,Cajero 1,42,44
62,Cajero 2,33,44
62,Cajero 3,48,44
63,Cajero 1,36,45
63,Cajero 2,40,35
63,Cajero 3,48,36
64,Cajero 1,31,35
64,Cajero 2,33,46
64,Cajero 3,28,45
65,Cajero 1,52,38
65,Cajero 2,44,44
65,Cajero 3,30,35
66,Cajero 1,39,44
66,Cajero 2,44,45
66,Cajero 3,44,35
67,Cajero 1,51,33
67,Cajero 2,39,36
67,Cajero 3,39,32
68,Cajero 1,47,35
68,Cajero 2,42,39
68,Cajero 3,31,40
69,Cajero 1,46,33
69,Cajero 2,43,48
69,Cajero 3,47,36
70,Cajero 1,46,49
70,Cajero 2,30,33
70,Cajero 3,33,49
71,Cajero 1,45,39
71,Cajero 2,34,41
71,Cajero 3,32,40
72,Cajero 1,43,41
72,Cajero 2,35,34
72,Cajero 3,47,37
73,Cajero 1,39,39
73,Cajero 2,38,37
73,Cajero 3,35,49
74,Cajero 1,35,39
74,Cajero 2,34,43
74,Cajero 3,32,36
75,Cajero 1,50,31
75,Cajero 2,47,33
75,Cajero 3,37,30
76,Cajero 1,33,50
76,Cajero 2,51,36
76,Cajero 3,42,44
77,Cajero 1,46,33
77,Cajero 2,45,40
77,Cajero 3,45,38
78,Cajero 1,36,34
78,Cajero 2,48,38
78,Cajero 3,39,36
79,Cajero 1,28,33
79,Cajero 2,35,47
79,Cajero 3,38,46
80,Cajero 1,41,51
80,Cajero 2,31,28
80,Cajero 3,37,42
81,Cajero 1,30,33
81,Cajero 2,45,33
81,Cajero 3,41,45
82,Cajero 1,33,46
82,Cajero 2,46,44
82,Cajero 3,30,35
83,Cajero 1,44,40
83,Cajero 2,33,41
83,Cajero 3,36,40
84,Cajero 1,47,32
84,Cajero 2,39,39
84,Cajero 3,33,31
85,Cajero 1,49,39
85,Cajero 2,34,47
85,Cajero 3,38,33
86,Cajero 1,48,37
86,Cajero 2,34,41
86,Cajero 3,41,33
87,Cajero 1,44,44
87,Cajero 2,50,44
87,Cajero 3,40,29
88,Cajero 1,35,32
88,Cajero 2,38,41
88,Cajero 3,34,33
89,Cajero 1,40,46
89,Cajero 2,47,32
89,Cajero 3,45,33
90,Cajero 1,36,33
90,Cajero 2,37,32
90,Cajero 3,41,39
91,Cajero 1,42,33
91,Cajero 2,42,42
91,Cajero 3,47,50
92,Cajero 1,43,43
92,Cajero 2,30,41
92,Cajero 3,49,42
93,Cajero 1,36,47
93,Cajero 2,44,37
93,Cajero 3,47,39
94,Cajero 1,30,34
94,Cajero 2,32,42
94,Cajero 3,32,45
95,Cajero 1,51,41
95,Cajero 2,45,47
95,Cajero 3,33,36
96,Cajero 1,40,41
96,Cajero 2,42,47
96,Cajero 3,44,35
97,Cajero 1,48,34
97,Cajero 2,37,38
97,Cajero 3,40,32
98,Cajero 1,47,31
98,Cajero 2,41,39
98,Cajero 3,34,37
99,Cajero 1,45,30
99,Cajero 2,42,47
99,Cajero 3,47,34
100,Cajero 1,49,49
100,Cajero 2,33,36
100,Cajero 3,33,50
101,Cajero 1,46,39
101,Cajero 2,37,43
101,Cajero 3,32,41
102,Cajero 1,46,37
102,Cajero 2,32,31
102,Cajero 3,46,37
103,Cajero 1,40,39
103,Cajero 2,35,36
103,Cajero 3,37,48
104,Cajero 1,35,42
104,Cajero 2,38,40
104,Cajero 3,33,37
105,Cajero 1,47,29
105,Cajero 2,48,34
105,Cajero 3,40,32
106,Cajero 1,35,47
106,Cajero 2,50,34
106,Cajero 3,39,43
107,Cajero 1,42,35
107,Cajero 2,47,42
107,Cajero 3,48,41
108,Cajero 1,36,35
108,Cajero 2,51,38
108,Cajero 3,40,38
109,Cajero 1,28,31
109,Cajero 2,35,44
109,Cajero 3,39,46
110,Cajero 1,43,47
110,Cajero 2,28,29
110,Cajero 3,33,40
111,Cajero 1,34,31
111,Cajero 2,44,31
111,Cajero 3,43,43
112,Cajero 1,37,44
112,Cajero 2,44,43
112,Cajero 3,32,31
113,Cajero 1,45,43
113,Cajero 2,29,45
113,Cajero 3,38,42
114,Cajero 1,51,36
114,Cajero 2,40,43
114,Cajero 3,30,30
115,Cajero 1,49,39
115,Cajero 2,35,44
